grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,De America del Norte,1 de julio de 2022,1.506
De 15 a 19 anios,De America del Norte,1 de enero de 2022,1.551
De 15 a 19 anios,De America del Norte,1 de julio de 2021,1.382
De 15 a 19 anios,De America del Norte,1 de enero de 2021,1.429
De 15 a 19 anios,De America del Norte,1 de julio de 2020,1.418
De 15 a 19 anios,De America del Norte,1 de enero de 2020,1.452
De 15 a 19 anios,De America del Norte,1 de julio de 2019,1.261
De 15 a 19 anios,De America del Norte,1 de enero de 2019,1.298
De 15 a 19 anios,De America del Norte,1 de julio de 2018,1.142
De 15 a 19 anios,De America del Norte,1 de enero de 2018,1.168
De 15 a 19 anios,De America del Norte,1 de julio de 2017,1.056
De 15 a 19 anios,De America del Norte,1 de enero de 2017,1.115
De 15 a 19 anios,De America del Norte,1 de julio de 2016,1.006
De 15 a 19 anios,De America del Norte,1 de enero de 2016,1.042
De 15 a 19 anios,De America del Norte,1 de julio de 2015,961
De 15 a 19 anios,De America del Norte,1 de enero de 2015,1.022
De 15 a 19 anios,De America del Norte,1 de julio de 2014,956
De 15 a 19 anios,De America del Norte,1 de enero de 2014,1.027
De 15 a 19 anios,De America del Norte,1 de julio de 2013,938
De 15 a 19 anios,De America del Norte,1 de enero de 2013,1.020
De 15 a 19 anios,De America del Norte,1 de julio de 2012,913
De 15 a 19 anios,De America del Norte,1 de enero de 2012,921
De 15 a 19 anios,De America del Norte,1 de julio de 2011,805
De 15 a 19 anios,De America del Norte,1 de enero de 2011,882
De 15 a 19 anios,De America del Norte,1 de julio de 2010,863
De 15 a 19 anios,De America del Norte,1 de enero de 2010,920
De 15 a 19 anios,De America del Norte,1 de julio de 2009,917
De 15 a 19 anios,De America del Norte,1 de enero de 2009,959
De 15 a 19 anios,De America del Norte,1 de julio de 2008,924
De 15 a 19 anios,De America del Norte,1 de enero de 2008,969
De 15 a 19 anios,De America del Norte,1 de julio de 2007,966
De 15 a 19 anios,De America del Norte,1 de enero de 2007,988
De 15 a 19 anios,De America del Norte,1 de julio de 2006,965
De 15 a 19 anios,De America del Norte,1 de enero de 2006,998
De 15 a 19 anios,De America del Norte,1 de julio de 2005,995
De 15 a 19 anios,De America del Norte,1 de enero de 2005,1.001
De 15 a 19 anios,De America del Norte,1 de julio de 2004,919
De 15 a 19 anios,De America del Norte,1 de enero de 2004,873
De 15 a 19 anios,De America del Norte,1 de julio de 2003,809
De 15 a 19 anios,De America del Norte,1 de enero de 2003,767
De 15 a 19 anios,De America del Norte,1 de julio de 2002,668
De 15 a 19 anios,De America del Norte,1 de enero de 2002,597
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2022,9.361
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2022,8.448
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2021,8.255
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2021,8.474
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2020,8.972
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2020,8.774
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2019,8.356
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2019,7.692
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2018,7.186
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2018,6.790
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2017,6.286
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2017,6.011
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2016,5.915
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2016,5.785
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2015,5.829
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2015,5.926
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2014,6.083
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2014,6.347
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2013,6.582
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2013,6.828
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2012,6.839
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2012,6.676
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2011,6.391
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2011,6.301
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2010,6.454
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2010,6.461
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2009,6.544
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2009,6.568
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2008,6.491
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2008,6.225
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2007,5.943
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2007,5.572
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2006,5.268
